课程名称,课节名称,训练内容,训练类型,时长(分钟),训练目的,适应用户
私密抗衰养护, 第17节 -欢乐娃娃机,欢乐娃娃机,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密抗衰养护, 第17节 -水母芭蕾,水母芭蕾,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密抗衰养护, 第18节 -盆底肌功能协调性训练,盆底肌功能协调性训练,凯格尔训练,20,提高盆底肌群协调性和整体功能,有一定肌肉控制能力、可进行主动训练的用户；耐受性较好、可进行长时间训练的用户
私密抗衰养护, 第18节 -欢乐娃娃机,欢乐娃娃机,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密抗衰养护, 第18节 -水母芭蕾,水母芭蕾,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第1节  -II类肌高强度II,II类肌高强度II,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（初步）, 第1节  -I类肌低强度I,I类肌低强度I,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（初步）, 第2节  -II类肌高强度II,II类肌高强度II,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（初步）, 第2节  -I类肌低强度I,I类肌低强度I,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（初步）, 第3节  -I类肌高强度IV,I类肌高强度IV,电刺激,30,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密紧致回春（初步）, 第4节  -I类肌高强度IV,I类肌高强度IV,电刺激,30,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密紧致回春（初步）, 第5节  -I类肌高强度III,I类肌高强度III,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（初步）, 第5节  -II类肌低强度I,II类肌低强度I,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（初步）, 第6节  -I类肌高强度III,I类肌高强度III,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（初步）, 第6节  -II类肌低强度I,II类肌低强度I,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（初步）, 第7节  -II类肌中强度I,II类肌中强度I,电刺激,30,未知训练内容，需要进一步分析,肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密紧致回春（初步）, 第8节  -II类肌中强度I,II类肌中强度I,电刺激,30,未知训练内容，需要进一步分析,肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密紧致回春（初步）, 第9节  -I型肌加强训练,I型肌加强训练,凯格尔训练,5,快肌纤维强化训练，提升收缩力,有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第9节  -I型肌强化训练,I型肌强化训练,凯格尔训练,15,快肌纤维深度强化，最大化收缩能力,已有训练基础、需要进一步提升的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（初步）, 第9节  -牵张放松-简单 ,牵张放松-简单 ,音乐放松,10,未知训练内容，需要进一步分析,肌张力过高、疼痛敏感的用户
私密紧致回春（初步）, 第10节 -I型肌强化训练,I型肌强化训练,凯格尔训练,15,快肌纤维深度强化，最大化收缩能力,已有训练基础、需要进一步提升的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（初步）, 第10节 -II型肌初步训练,II型肌初步训练,凯格尔训练,5,慢肌纤维基础训练，建立持久收缩,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第10节 -水母芭蕾,水母芭蕾,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密紧致回春（初步）, 第11节 -混合肌初步训练,混合肌初步训练,凯格尔训练,15,快慢肌纤维协调训练基础,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（初步）, 第11节 -混合肌增强训练,混合肌增强训练,凯格尔训练,5,快慢肌纤维协调强化训练,有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第11节 -滑板旅行,滑板旅行,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密紧致回春（初步）, 第12节 -快速收缩训练,快速收缩训练,凯格尔训练,5,提高肌肉快速收缩能力和反应速度,有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第12节 -A3反射训练,A3反射训练,凯格尔训练,15,训练肛门收缩反射，改善控制能力,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（初步）, 第12节 -欢乐娃娃机,欢乐娃娃机,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第12节 -水母芭蕾,水母芭蕾,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第13节 -盆底肌功能协调性训练,盆底肌功能协调性训练,凯格尔训练,15,提高盆底肌群协调性和整体功能,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（初步）, 第13节 -欢乐娃娃机,欢乐娃娃机,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密紧致回春（初步）, 第13节 -滑板旅行,滑板旅行,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第14节 -肌肉收缩放松训练,肌肉收缩放松训练,凯格尔训练,5,训练肌肉收缩和放松的协调性,肌张力过高、疼痛敏感的用户；有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第14节 -腹部-会阴部协调训练,腹部-会阴部协调训练,凯格尔训练,10,改善腹部和会阴部肌肉协调,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（初步）, 第14节 -欢乐娃娃机,欢乐娃娃机,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密紧致回春（初步）, 第14节 -水母芭蕾,水母芭蕾,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第15节 -快速收缩训练,快速收缩训练,凯格尔训练,5,提高肌肉快速收缩能力和反应速度,有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（初步）, 第15节 -渐进控制收缩训练,渐进控制收缩训练,凯格尔训练,10,逐步提高肌肉控制精度,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（初步）, 第15节 -欢乐娃娃机,欢乐娃娃机,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密紧致回春（初步）, 第15节 -滑板旅行,滑板旅行,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密紧致回春（增强）, 第1节  -II类肌高强度II,II类肌高强度II,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（增强）, 第1节  -I类肌低强度I,I类肌低强度I,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（增强）, 第2节  -II类肌高强度II,II类肌高强度II,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（增强）, 第2节  -I类肌低强度I,I类肌低强度I,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（增强）, 第3节  -I类肌高强度IV,I类肌高强度IV,电刺激,20,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密紧致回春（增强）, 第3节  -I类肌高强度I,I类肌高强度I,触发电刺激,10,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
私密紧致回春（增强）, 第4节  -I类肌高强度III,I类肌高强度III,电刺激,10,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（增强）, 第4节  -II类肌低强度I,II类肌低强度I,电刺激,10,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（增强）, 第4节  -I类肌高强度I,I类肌高强度I,触发电刺激,10,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
私密紧致回春（增强）, 第5节  -I类肌高强度III,I类肌高强度III,电刺激,5,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（增强）, 第5节  -II类肌低强度I,II类肌低强度I,电刺激,10,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（增强）, 第5节  -I类肌高强度I,I类肌高强度I,触发电刺激,10,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
私密紧致回春（增强）, 第5节  -I型肌加强训练,I型肌加强训练,凯格尔训练,5,快肌纤维强化训练，提升收缩力,有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（增强）, 第6节  -II类肌中强度I,II类肌中强度I,电刺激,10,未知训练内容，需要进一步分析,肌肉收缩能力较弱、需要被动刺激的用户
私密紧致回春（增强）, 第6节  -I型肌强化训练,I型肌强化训练,凯格尔训练,15,快肌纤维深度强化，最大化收缩能力,已有训练基础、需要进一步提升的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第6节  -II型肌初步训练,II型肌初步训练,凯格尔训练,5,慢肌纤维基础训练，建立持久收缩,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（增强）, 第7节  -快速收缩训练,快速收缩训练,凯格尔训练,5,提高肌肉快速收缩能力和反应速度,有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（增强）, 第7节  -I类肌高强度I,I类肌高强度I,触发电刺激,10,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
私密紧致回春（增强）, 第7节  -混合肌初步训练,混合肌初步训练,凯格尔训练,15,快慢肌纤维协调训练基础,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第8节  -I类肌高强度I,I类肌高强度I,触发电刺激,10,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
私密紧致回春（增强）, 第8节  -混合肌初步训练,混合肌初步训练,凯格尔训练,15,快慢肌纤维协调训练基础,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第8节  -混合肌增强训练,混合肌增强训练,凯格尔训练,5,快慢肌纤维协调强化训练,有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（增强）, 第9节  -混合肌初步训练,混合肌初步训练,凯格尔训练,15,快慢肌纤维协调训练基础,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第9节  -A3反射训练,A3反射训练,凯格尔训练,15,训练肛门收缩反射，改善控制能力,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第10节 -盆底肌功能协调性训练,盆底肌功能协调性训练,凯格尔训练,15,提高盆底肌群协调性和整体功能,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第10节 -肌肉收缩放松训练,肌肉收缩放松训练,凯格尔训练,15,训练肌肉收缩和放松的协调性,肌张力过高、疼痛敏感的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第11节 -混合肌初步训练,混合肌初步训练,凯格尔训练,15,快慢肌纤维协调训练基础,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第11节 -盆底肌功能协调性训练,盆底肌功能协调性训练,凯格尔训练,15,提高盆底肌群协调性和整体功能,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第12节 -混合肌增强训练,混合肌增强训练,凯格尔训练,15,快慢肌纤维协调强化训练,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第12节 -饥饿鲨鱼,饥饿鲨鱼,游戏互动,15,未知训练内容，需要进一步分析,适合大部分用户
私密紧致回春（增强）, 第13节 -腹部-会阴部协调训练,腹部-会阴部协调训练,凯格尔训练,15,改善腹部和会阴部肌肉协调,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第13节 -饥饿鲨鱼,饥饿鲨鱼,游戏互动,15,未知训练内容，需要进一步分析,适合大部分用户
私密紧致回春（增强）, 第14节 -盆底肌功能协调性训练,盆底肌功能协调性训练,凯格尔训练,15,提高盆底肌群协调性和整体功能,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第14节 -饥饿鲨鱼,饥饿鲨鱼,游戏互动,15,未知训练内容，需要进一步分析,适合大部分用户
私密紧致回春（增强）, 第15节 -快速收缩训练,快速收缩训练,凯格尔训练,5,提高肌肉快速收缩能力和反应速度,有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密紧致回春（增强）, 第15节 -渐进控制收缩训练,渐进控制收缩训练,凯格尔训练,10,逐步提高肌肉控制精度,有一定肌肉控制能力、可进行主动训练的用户
私密紧致回春（增强）, 第15节 -饥饿鲨鱼,饥饿鲨鱼,游戏互动,15,未知训练内容，需要进一步分析,适合大部分用户
私密按摩放松, 第1节  -肌肉放松,肌肉放松,电刺激,20,缓解肌肉紧张，降低肌张力，改善肌肉柔韧性,肌张力过高、疼痛敏感的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密按摩放松, 第1节  -促血流,促血流,电刺激,10,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密按摩放松, 第2节  -肌肉放松,肌肉放松,电刺激,20,缓解肌肉紧张，降低肌张力，改善肌肉柔韧性,肌张力过高、疼痛敏感的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密按摩放松, 第2节  -促血流,促血流,电刺激,10,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密按摩放松, 第3节  -肌肉放松,肌肉放松,电刺激,15,缓解肌肉紧张，降低肌张力，改善肌肉柔韧性,肌张力过高、疼痛敏感的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密按摩放松, 第3节  -低频镇痛,低频镇痛,电刺激,15,缓解疼痛，促进局部血液循环,有疼痛症状、需要缓解不适的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密按摩放松, 第4节  -肌肉放松,肌肉放松,电刺激,15,缓解肌肉紧张，降低肌张力，改善肌肉柔韧性,肌张力过高、疼痛敏感的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密按摩放松, 第4节  -低频镇痛,低频镇痛,电刺激,15,缓解疼痛，促进局部血液循环,有疼痛症状、需要缓解不适的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密按摩放松, 第5节  -肌肉放松,肌肉放松,电刺激,20,缓解肌肉紧张，降低肌张力，改善肌肉柔韧性,肌张力过高、疼痛敏感的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密按摩放松, 第5节  -低频镇痛,低频镇痛,电刺激,10,缓解疼痛，促进局部血液循环,有疼痛症状、需要缓解不适的用户；肌肉收缩能力较弱、需要被动刺激的用户
私密按摩放松, 第6节  -I类肌高强度III,I类肌高强度III,电刺激,20,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
私密按摩放松, 第6节  -I类肌高强度I,I类肌高强度I,触发电刺激,10,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
私密按摩放松, 第7节  -II类肌低强度I,II类肌低强度I,电刺激,5,未知训练内容，需要进一步分析,肌肉功能较弱、需要温和训练的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
私密按摩放松, 第7节  -I类肌高强度I,I类肌高强度I,触发电刺激,10,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
私密按摩放松, 第7节  -I型肌初步训练,I型肌初步训练,凯格尔训练,10,快肌纤维基础训练，建立肌肉记忆,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第7节  -音乐放松01,音乐放松01,音乐放松,5,未知训练内容，需要进一步分析,肌张力过高、疼痛敏感的用户；耐受性较低、需要短时间训练的用户
私密按摩放松, 第8节  -II类肌中强度I,II类肌中强度I,电刺激,10,未知训练内容，需要进一步分析,肌肉收缩能力较弱、需要被动刺激的用户
私密按摩放松, 第8节  -I型肌强化训练,I型肌强化训练,凯格尔训练,10,快肌纤维深度强化，最大化收缩能力,已有训练基础、需要进一步提升的用户；有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第8节  -Ⅱ型肌初步训练,Ⅱ型肌初步训练,凯格尔训练,5,未知训练内容，需要进一步分析,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密按摩放松, 第8节  -音乐放松02,音乐放松02,音乐放松,5,未知训练内容，需要进一步分析,肌张力过高、疼痛敏感的用户；耐受性较低、需要短时间训练的用户
私密按摩放松, 第9节  -音乐放松05,音乐放松05,音乐放松,10,未知训练内容，需要进一步分析,肌张力过高、疼痛敏感的用户
私密按摩放松, 第9节  -A3反射训练,A3反射训练,凯格尔训练,10,训练肛门收缩反射，改善控制能力,有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第9节  -音乐放松01,音乐放松01,音乐放松,10,未知训练内容，需要进一步分析,肌张力过高、疼痛敏感的用户
私密按摩放松, 第10节 -盆底肌功能协调性训练,盆底肌功能协调性训练,凯格尔训练,10,提高盆底肌群协调性和整体功能,有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第10节 -肌肉收缩放松训练,肌肉收缩放松训练,凯格尔训练,10,训练肌肉收缩和放松的协调性,肌张力过高、疼痛敏感的用户；有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第10节 -音乐放松01,音乐放松01,音乐放松,10,未知训练内容，需要进一步分析,肌张力过高、疼痛敏感的用户
私密按摩放松, 第11节 -混合肌初步训练,混合肌初步训练,凯格尔训练,10,快慢肌纤维协调训练基础,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第11节 -盆底肌功能协调性训练,盆底肌功能协调性训练,凯格尔训练,10,提高盆底肌群协调性和整体功能,有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第11节 -音乐放松01,音乐放松01,音乐放松,10,未知训练内容，需要进一步分析,肌张力过高、疼痛敏感的用户
私密按摩放松, 第12节 -腹部-会阴部协调训练,腹部-会阴部协调训练,凯格尔训练,10,改善腹部和会阴部肌肉协调,有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第12节 -饥饿鲨鱼,饥饿鲨鱼,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密按摩放松, 第12节 -音乐放松02,音乐放松02,音乐放松,10,未知训练内容，需要进一步分析,肌张力过高、疼痛敏感的用户
私密按摩放松, 第13节 -I型肌初步训练,I型肌初步训练,凯格尔训练,10,快肌纤维基础训练，建立肌肉记忆,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第13节 -水母芭蕾,水母芭蕾,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密按摩放松, 第13节 -I型肌初步训练,I型肌初步训练,凯格尔训练,5,快肌纤维基础训练，建立肌肉记忆,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密按摩放松, 第13节 -水母芭蕾,水母芭蕾,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密按摩放松, 第14节 -II型肌初步训练,II型肌初步训练,凯格尔训练,10,慢肌纤维基础训练，建立持久收缩,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第14节 -滑板旅行,滑板旅行,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密按摩放松, 第14节 -II型肌初步训练,II型肌初步训练,凯格尔训练,5,慢肌纤维基础训练，建立持久收缩,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密按摩放松, 第14节 -滑板旅行,滑板旅行,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密按摩放松, 第15节 -混合肌初步训练,混合肌初步训练,凯格尔训练,10,快慢肌纤维协调训练基础,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户
私密按摩放松, 第15节 -水母芭蕾,水母芭蕾,游戏互动,10,未知训练内容，需要进一步分析,适合大部分用户
私密按摩放松, 第15节 -混合肌初步训练,混合肌初步训练,凯格尔训练,5,快慢肌纤维协调训练基础,初次接受训练、基础功能较弱的用户；有一定肌肉控制能力、可进行主动训练的用户；耐受性较低、需要短时间训练的用户
私密按摩放松, 第15节 -水母芭蕾,水母芭蕾,游戏互动,5,未知训练内容，需要进一步分析,耐受性较低、需要短时间训练的用户
私密紧致, 第1节  -II类肌高强度II,II类肌高强度II,电刺激,15,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
